,movie_id,movie_title,rel_date,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rel_year,numMovieRatings,avgRating
407,408,"Close Shave, A (1995)",28-Apr-1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,112,4.4911
317,318,Schindler's List (1993),01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1993,298,4.4664
168,169,"Wrong Trousers, The (1993)",01-Jan-1993,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,118,4.4661
482,483,Casablanca (1942),01-Jan-1942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1942,243,4.4568
113,114,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,67,4.4478
63,64,"Shawshank Redemption, The (1994)",01-Jan-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,283,4.4452
602,603,Rear Window (1954),01-Jan-1954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1954,209,4.3876
11,12,"Usual Suspects, The (1995)",14-Aug-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,267,4.3858
49,50,Star Wars (1977),01-Jan-1977,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1977,583,4.3585
177,178,12 Angry Men (1957),01-Jan-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1957,125,4.344
512,513,"Third Man, The (1949)",01-Jan-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1949,72,4.3333
133,134,Citizen Kane (1941),01-Jan-1941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1941,198,4.2929
426,427,To Kill a Mockingbird (1962),01-Jan-1962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1962,219,4.2922
356,357,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1975,264,4.2917
97,98,"Silence of the Lambs, The (1991)",01-Jan-1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1991,390,4.2897
479,480,North by Northwest (1959),01-Jan-1959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1959,179,4.2849
126,127,"Godfather, The (1972)",01-Jan-1972,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1972,413,4.2833
284,285,Secrets & Lies (1996),04-Oct-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,162,4.2654
271,272,Good Will Hunting (1997),01-Jan-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997,198,4.2626
656,657,"Manchurian Candidate, The (1962)",01-Jan-1962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1962,131,4.2595
473,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01-Jan-1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1963,194,4.2526
173,174,Raiders of the Lost Ark (1981),01-Jan-1981,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,420,4.2524
478,479,Vertigo (1958),01-Jan-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1958,179,4.2514
312,313,Titanic (1997),01-Jan-1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1997,350,4.2457
510,511,Lawrence of Arabia (1962),01-Jan-1962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1962,173,4.2312
483,484,"Maltese Falcon, The (1941)",01-Jan-1941,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1941,138,4.2101
171,172,"Empire Strikes Back, The (1980)",01-Jan-1980,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1980,367,4.2044
514,515,"Boot, Das (1981)",04-Apr-1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1997,201,4.204
487,488,Sunset Blvd. (1950),01-Jan-1950,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1950,65,4.2
222,223,Sling Blade (1996),22-Nov-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,136,4.1985
315,316,As Good As It Gets (1997),23-Dec-1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1997,112,4.1964
186,187,"Godfather: Part II, The (1974)",01-Jan-1974,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1974,209,4.1866
497,498,"African Queen, The (1951)",01-Jan-1951,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1951,152,4.1842
198,199,"Bridge on the River Kwai, The (1957)",01-Jan-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1957,165,4.1758
169,170,Cinema Paradiso (1988),01-Jan-1988,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1988,121,4.1736
172,173,"Princess Bride, The (1987)",01-Jan-1987,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1987,324,4.1728
190,191,Amadeus (1984),01-Jan-1984,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1984,276,4.163
301,302,L.A. Confidential (1997),01-Jan-1997,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1997,297,4.1616
