,movie_id,movie_title,rel_date,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rel_year,numMovieRatings,avgRating
1535,1536,Aiqing wansui (1994),22-Jul-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,1,5.0
1466,1467,"Saint of Fort Washington, The (1993)",01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,2,5.0
1121,1122,They Made Me a Criminal (1939),01-Jan-1939,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1939,1,5.0
1598,1599,Someone Else's America (1995),10-May-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,1,5.0
1652,1653,Entertaining Angels: The Dorothy Day Story (1996),27-Sep-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,1,5.0
1292,1293,Star Kid (1997),16-Jan-1998,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1998,3,5.0
1499,1500,Santa with Muscles (1996),08-Nov-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,2,5.0
813,814,"Great Day in Harlem, A (1994)",01-Jan-1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,1,5.0
1200,1201,Marlene Dietrich: Shadow and Light (1996) ,02-Apr-1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996,1,5.0
1188,1189,Prefontaine (1997),24-Jan-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997,3,5.0
1448,1449,Pather Panchali (1955),22-Mar-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,8,4.625
118,119,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,4,4.5
1593,1594,Everest (1998),10-Mar-1998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998,2,4.5
1397,1398,Anna (1996),13-Nov-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,2,4.5
1641,1642,Some Mother's Son (1996),27-Dec-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,2,4.5
407,408,"Close Shave, A (1995)",28-Apr-1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,112,4.4911
317,318,Schindler's List (1993),01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1993,298,4.4664
168,169,"Wrong Trousers, The (1993)",01-Jan-1993,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,118,4.4661
482,483,Casablanca (1942),01-Jan-1942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1942,243,4.4568
113,114,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,67,4.4478
63,64,"Shawshank Redemption, The (1994)",01-Jan-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,283,4.4452
602,603,Rear Window (1954),01-Jan-1954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1954,209,4.3876
11,12,"Usual Suspects, The (1995)",14-Aug-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,267,4.3858
49,50,Star Wars (1977),01-Jan-1977,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1977,583,4.3585
177,178,12 Angry Men (1957),01-Jan-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1957,125,4.344
